Month;Phase;Site;Section;Poecilia_vivipara;Astyanax_bimaculatus;Cichlasoma_orientale;Serrapinnus_heterodon;Oreochromis_niloticus;Hoplias_malabaricus;Steindachnerina_notonota;Phenacogaster_calverti;Compsura_heterura;Astyanax_fasciatus;Serrapinnus_piaba;Hemigrammus_spp;Prochilodus_brevis;Hypostomus_spp;Trachelyopterus_galeatus;Crenicichla_menezesi;Characidum_bimaculatum;Leporinus_piau;Parotocinclus_cearensis
sep_2018;non_flowing;S1;50_100;0.007968762;0.015937525;0;0.135468962;0.023906287;0;0.183281536;0.398438123;0.541875847;0.095625149;0.095625149;0.255000398;0;0.007968762;0;0.039843812;0;0;0
sep_2018;non_flowing;S1;100_150;0;0.019607843;0.019607843;0.117647059;0;0.009803922;0.176470588;0.019607843;0;0.029411765;0.009803922;0.019607843;0;0;0;0.009803922;0;0.009803922;0
sep_2018;non_flowing;S1;100_150;0;0.019607843;0.009803922;0.019607843;0;0.009803922;0.039215686;0;0.009803922;0.009803922;0.009803922;0.019607843;0;0;0;0.009803922;0;0;0
sep_2018;non_flowing;S1;100_150;0.019607843;0.323529412;0.039215686;0.039215686;0;0.029411765;0.078431373;0.039215686;0.039215686;0.490196078;0.009803922;0.039215686;0;0;0;0;0;0.009803922;0
sep_2018;non_flowing;S1;150_200;0;1.960784314;0;0;1.960784314;0;0;0;0;0;0;6.862745098;0;0;0;1.960784314;0;0;0
sep_2018;non_flowing;S2;0_50;48;105;26;0;0;1;0;0;1;12;0;5;0;0;0;5;0;0;0
sep_2018;non_flowing;S2;0_50;97;49;14;1;0;1;2;0;0;4;2;186;0;0;0;1;0;0;0
sep_2018;non_flowing;S2;0_50;26;22;8;0;0;2;0;2;0;12;1;23;0;0;2;2;0;0;0
sep_2018;non_flowing;S2;0_50;0;0.100200401;0.200400802;0;0;0;0;0;0;0;0;0.100200401;0;0;0;0;0;0;0
sep_2018;non_flowing;S2;150_200;8.90052356;5.235602094;0;1.570680628;0;0;0;0;0.523560209;0;0;6.806282723;0;0;0;0;0;0;0
sep_2018;non_flowing;S2;150_200;2.807775378;3.455723542;0;0.215982721;0;0;0;1.079913607;0.215982721;0.431965443;0.431965443;7.127429806;0;0;0.215982721;0;0;0;0
sep_2018;non_flowing;S2;150_200;0.215982721;1.943844492;0;0;0;0;0;0.215982721;0;0.215982721;0.431965443;1.079913607;0;0;0.215982721;0;0;0;0
sep_2018;non_flowing;S2;150_200;0;0.260416667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sep_2018;non_flowing;S3;0_50;2.31522707;0.35618878;0.979519145;0.801424755;0;0.089047195;0.044523598;0.089047195;0.17809439;0.267141585;1.380231523;1.202137133;0;0;0;0;0;0;0
sep_2018;non_flowing;S3;0_50;0.934995548;0.53428317;0.089047195;0.089047195;0;0.089047195;0;0.53428317;0;0.089047195;0.17809439;0.17809439;0;0;0.044523598;0;0;0;0
sep_2018;non_flowing;S3;0_50;0.17809439;0;0;0.044523598;0;0;0;0;0;0.133570793;0.044523598;0.133570793;0;0;0;0;0;0;0
sep_2018;non_flowing;S3;50_100;0.049627792;0.104769782;0.06065619;0.022056796;0;0.016542597;0;0;0.005514199;0.077198787;0.022056796;0.071684588;0;0;0;0.033085194;0;0;0
sep_2018;non_flowing;S3;50_100;0.022056796;0.027570995;0;0.022056796;0;0.005514199;0.005514199;0.016542597;0.016542597;0.033085194;0.049627792;0.110283981;0;0;0;0.016542597;0.005514199;0;0
sep_2018;non_flowing;S3;50_100;0.055141991;0.011028398;0.005514199;0.049627792;0;0.011028398;0;0.055141991;0.104769782;0.071684588;0.104769782;0.23711056;0;0;0;0.011028398;0;0;0
sep_2018;non_flowing;S3;100_150;15.37558685;0.821596244;0.58685446;0;0;0;0;0;0;0.117370892;0;0;0;0;0;0;0;0;0
sep_2018;non_flowing;S6;0_50;4.225352113;0;0;0;15.49295775;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sep_2018;non_flowing;S6;0_50;0;0;0;0;118.5022026;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sep_2018;non_flowing;S6;50_100;0.198187995;0.424688562;0.056625142;0;0.424688562;0.028312571;0;0;0;0;0;0;0;0;0;0;0;0;0
sep_2018;non_flowing;S6;50_100;0.028312571;0.028312571;0.084937712;0;0;0;0;0;0;0.028312571;0;0;0;0;0;0;0;0;0
